bcr_sample_barcode	bcr_analyte_barcode	experimental_protocol_type	protocol_file_name	protocol_name
TCGA-A1-A0SK-01A	TCGA-A1-A0SK-01A-12D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-A1-A0SK-01A	TCGA-A1-A0SK-01A-12R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-A1-A0SK-01A	TCGA-A1-A0SK-01A-12W	Repli-G	[Not Available]	[Not Available]
TCGA-A1-A0SK-01A	TCGA-A1-A0SK-01A-12X	Repli-G X	[Not Available]	[Not Available]
TCGA-A1-A0SK-10A	TCGA-A1-A0SK-10A-03D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-A1-A0SK-10A	TCGA-A1-A0SK-10A-03W	Repli-G	[Not Available]	[Not Available]
TCGA-A1-A0SK-10A	TCGA-A1-A0SK-10A-03X	Repli-G X	[Not Available]	[Not Available]
TCGA-A1-A0SM-01A	TCGA-A1-A0SM-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-A1-A0SM-01A	TCGA-A1-A0SM-01A-11R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-A1-A0SM-01A	TCGA-A1-A0SM-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-A1-A0SM-01A	TCGA-A1-A0SM-01A-11X	Repli-G X	[Not Available]	[Not Available]
TCGA-A1-A0SM-10A	TCGA-A1-A0SM-10A-02D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-A1-A0SM-10A	TCGA-A1-A0SM-10A-02W	Repli-G	[Not Available]	[Not Available]
TCGA-A1-A0SM-10A	TCGA-A1-A0SM-10A-02X	Repli-G X	[Not Available]	[Not Available]
TCGA-A1-A0SN-01A	TCGA-A1-A0SN-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-A1-A0SN-01A	TCGA-A1-A0SN-01A-11R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-A1-A0SN-01A	TCGA-A1-A0SN-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-A1-A0SN-10B	TCGA-A1-A0SN-10B-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-A1-A0SN-10B	TCGA-A1-A0SN-10B-01W	Repli-G	[Not Available]	[Not Available]
TCGA-A1-A0SO-01A	TCGA-A1-A0SO-01A-22D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-A1-A0SO-01A	TCGA-A1-A0SO-01A-22R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-A1-A0SO-01A	TCGA-A1-A0SO-01A-22W	Repli-G	[Not Available]	[Not Available]
TCGA-A1-A0SO-01A	TCGA-A1-A0SO-01A-22X	Repli-G X	[Not Available]	[Not Available]
TCGA-A1-A0SO-10A	TCGA-A1-A0SO-10A-03D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-A1-A0SO-10A	TCGA-A1-A0SO-10A-03W	Repli-G	[Not Available]	[Not Available]
TCGA-A1-A0SO-10A	TCGA-A1-A0SO-10A-03X	Repli-G X	[Not Available]	[Not Available]
TCGA-A1-A0SP-01A	TCGA-A1-A0SP-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-A1-A0SP-01A	TCGA-A1-A0SP-01A-11R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-A1-A0SP-01A	TCGA-A1-A0SP-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-A1-A0SP-01A	TCGA-A1-A0SP-01A-11X	Repli-G X	[Not Available]	[Not Available]
TCGA-A1-A0SP-10A	TCGA-A1-A0SP-10A-02D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-A1-A0SP-10A	TCGA-A1-A0SP-10A-02W	Repli-G	[Not Available]	[Not Available]
TCGA-A1-A0SP-10A	TCGA-A1-A0SP-10A-02X	Repli-G X	[Not Available]	[Not Available]
TCGA-A1-A0SQ-01A	TCGA-A1-A0SQ-01A-21D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-A1-A0SQ-01A	TCGA-A1-A0SQ-01A-21R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-A1-A0SQ-01A	TCGA-A1-A0SQ-01A-21W	Repli-G	[Not Available]	[Not Available]
TCGA-A1-A0SQ-10B	TCGA-A1-A0SQ-10B-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-A1-A0SQ-10B	TCGA-A1-A0SQ-10B-01W	Repli-G	[Not Available]	[Not Available]
TCGA-A2-A04N-01A	TCGA-A2-A04N-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-A2-A04N-01A	TCGA-A2-A04N-01A-11R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-A2-A04N-01A	TCGA-A2-A04N-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-A2-A04N-10A	TCGA-A2-A04N-10A-01D	tssDNA	[Not Available]	[Not Available]
TCGA-A2-A04N-10A	TCGA-A2-A04N-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-A2-A04P-01A	TCGA-A2-A04P-01A-31D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-A2-A04P-01A	TCGA-A2-A04P-01A-31R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-A2-A04P-01A	TCGA-A2-A04P-01A-31W	Repli-G	[Not Available]	[Not Available]
TCGA-A2-A04P-01A	TCGA-A2-A04P-01A-31X	Repli-G X	[Not Available]	[Not Available]
TCGA-A2-A04P-10A	TCGA-A2-A04P-10A-01D	tssDNA	[Not Available]	[Not Available]
TCGA-A2-A04P-10A	TCGA-A2-A04P-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-A2-A04P-10A	TCGA-A2-A04P-10A-01X	Repli-G X	[Not Available]	[Not Available]
TCGA-A2-A04Q-01A	TCGA-A2-A04Q-01A-21D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-A2-A04Q-01A	TCGA-A2-A04Q-01A-21R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-A2-A04Q-01A	TCGA-A2-A04Q-01A-21W	Repli-G	[Not Available]	[Not Available]
TCGA-A2-A04Q-01A	TCGA-A2-A04Q-01A-21X	Repli-G X	[Not Available]	[Not Available]
TCGA-A2-A04Q-10A	TCGA-A2-A04Q-10A-01D	tssDNA	[Not Available]	[Not Available]
TCGA-A2-A04Q-10A	TCGA-A2-A04Q-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-A2-A04Q-10A	TCGA-A2-A04Q-10A-01X	Repli-G X	[Not Available]	[Not Available]
TCGA-A2-A04R-01A	TCGA-A2-A04R-01A-41D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-A2-A04R-01A	TCGA-A2-A04R-01A-41R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-A2-A04R-01A	TCGA-A2-A04R-01A-41X	Repli-G X	[Not Available]	[Not Available]
TCGA-A2-A04R-10B	TCGA-A2-A04R-10B-01D	tssDNA	[Not Available]	[Not Available]
TCGA-A2-A04R-10B	TCGA-A2-A04R-10B-01X	Repli-G X	[Not Available]	[Not Available]
TCGA-A2-A04T-01A	TCGA-A2-A04T-01A-21D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-A2-A04T-01A	TCGA-A2-A04T-01A-21R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-A2-A04T-01A	TCGA-A2-A04T-01A-21W	Repli-G	[Not Available]	[Not Available]
TCGA-A2-A04T-01A	TCGA-A2-A04T-01A-21X	Repli-G X	[Not Available]	[Not Available]
TCGA-A2-A04T-10A	TCGA-A2-A04T-10A-01D	tssDNA	[Not Available]	[Not Available]
TCGA-A2-A04T-10A	TCGA-A2-A04T-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-A2-A04T-10A	TCGA-A2-A04T-10A-01X	Repli-G X	[Not Available]	[Not Available]
TCGA-A2-A04U-01A	TCGA-A2-A04U-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-A2-A04U-01A	TCGA-A2-A04U-01A-11R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-A2-A04U-01A	TCGA-A2-A04U-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-A2-A04U-10A	TCGA-A2-A04U-10A-01D	tssDNA	[Not Available]	[Not Available]
TCGA-A2-A04U-10A	TCGA-A2-A04U-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-A2-A04V-01A	TCGA-A2-A04V-01A-21D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-A2-A04V-01A	TCGA-A2-A04V-01A-21R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-A2-A04V-01A	TCGA-A2-A04V-01A-21W	Repli-G	[Not Available]	[Not Available]
TCGA-A2-A04V-01A	TCGA-A2-A04V-01A-21X	Repli-G X	[Not Available]	[Not Available]
TCGA-A2-A04V-10A	TCGA-A2-A04V-10A-01D	tssDNA	[Not Available]	[Not Available]
TCGA-A2-A04V-10A	TCGA-A2-A04V-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-A2-A04V-10A	TCGA-A2-A04V-10A-01X	Repli-G X	[Not Available]	[Not Available]
TCGA-A2-A04W-01A	TCGA-A2-A04W-01A-31D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-A2-A04W-01A	TCGA-A2-A04W-01A-31R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-A2-A04W-01A	TCGA-A2-A04W-01A-31W	Repli-G	[Not Available]	[Not Available]
TCGA-A2-A04W-10A	TCGA-A2-A04W-10A-01D	tssDNA	[Not Available]	[Not Available]
TCGA-A2-A04W-10A	TCGA-A2-A04W-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-A2-A04X-01A	TCGA-A2-A04X-01A-21D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-A2-A04X-01A	TCGA-A2-A04X-01A-21R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-A2-A04X-01A	TCGA-A2-A04X-01A-21W	Repli-G	[Not Available]	[Not Available]
TCGA-A2-A04X-01A	TCGA-A2-A04X-01A-21X	Repli-G X	[Not Available]	[Not Available]
TCGA-A2-A04X-10A	TCGA-A2-A04X-10A-01D	tssDNA	[Not Available]	[Not Available]
TCGA-A2-A04X-10A	TCGA-A2-A04X-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-A2-A04X-10A	TCGA-A2-A04X-10A-01X	Repli-G X	[Not Available]	[Not Available]
TCGA-A2-A04Y-01A	TCGA-A2-A04Y-01A-21D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-A2-A04Y-01A	TCGA-A2-A04Y-01A-21R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-A2-A04Y-01A	TCGA-A2-A04Y-01A-21W	Repli-G	[Not Available]	[Not Available]
TCGA-A2-A04Y-01A	TCGA-A2-A04Y-01A-21X	Repli-G X	[Not Available]	[Not Available]
TCGA-A2-A04Y-10A	TCGA-A2-A04Y-10A-01D	tssDNA	[Not Available]	[Not Available]
TCGA-A2-A04Y-10A	TCGA-A2-A04Y-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-A2-A04Y-10A	TCGA-A2-A04Y-10A-01X	Repli-G X	[Not Available]	[Not Available]
TCGA-A2-A0CL-01A	TCGA-A2-A0CL-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-A2-A0CL-01A	TCGA-A2-A0CL-01A-11R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-A2-A0CL-01A	TCGA-A2-A0CL-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-A2-A0CL-10A	TCGA-A2-A0CL-10A-01D	tssDNA	[Not Available]	[Not Available]
TCGA-A2-A0CL-10A	TCGA-A2-A0CL-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-A2-A0CM-01A	TCGA-A2-A0CM-01A-31D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-A2-A0CM-01A	TCGA-A2-A0CM-01A-31R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-A2-A0CM-01A	TCGA-A2-A0CM-01A-31W	Repli-G	[Not Available]	[Not Available]
TCGA-A2-A0CM-01A	TCGA-A2-A0CM-01A-31X	Repli-G X	[Not Available]	[Not Available]
TCGA-A2-A0CM-10A	TCGA-A2-A0CM-10A-01D	tssDNA	[Not Available]	[Not Available]
