bcr_sample_barcode	shipment_portion_bcr_aliquot_barcode	shipment_portion_day_of_shipment	shipment_portion_month_of_shipment	shipment_portion_year_of_shipment	bcr_shipment_portion_uuid	center_id	plate_id	portion_number
TCGA-D8-A1XG-01A	TCGA-D8-A1XG-01A-21-A17K-20	27	7	2011	C51C59E6-0A2C-4597-88DF-59166BF2C096	20	A17K	21
TCGA-D8-A1XJ-01A	TCGA-D8-A1XJ-01A-21-A17K-20	27	7	2011	9DCB0E51-AC2F-4954-AC24-A1C9E20E7C8A	20	A17K	21
TCGA-D8-A1XK-01A	TCGA-D8-A1XK-01A-11-A17K-20	27	7	2011	567F0C52-EB40-43CC-A34C-A7E1714B420A	20	A17K	11
TCGA-D8-A1XL-01A	TCGA-D8-A1XL-01A-21-A17K-20	27	7	2011	2505F3CC-34A7-448A-9935-97126FEC7C57	20	A17K	21
TCGA-D8-A1XM-01A	TCGA-D8-A1XM-01A-11-A17K-20	27	7	2011	6885966B-8453-46B3-8F90-6DFC1117E87B	20	A17K	11
TCGA-D8-A1XO-01A	TCGA-D8-A1XO-01A-21-A17K-20	27	7	2011	F75C4694-AA3E-4855-8B51-BFB5DE5373FC	20	A17K	21
TCGA-D8-A1XQ-01A	TCGA-D8-A1XQ-01A-21-A17K-20	27	7	2011	43FA736B-5235-4357-8AE7-2B0029EFECFC	20	A17K	21
TCGA-D8-A1XR-01A	TCGA-D8-A1XR-01A-21-A17K-20	27	7	2011	F97F91F5-8D8B-494D-847C-848251489758	20	A17K	21
TCGA-D8-A1XS-01A	TCGA-D8-A1XS-01A-21-A17K-20	27	7	2011	22EDABB4-30A0-4D5D-95F2-3EE9C3883FD1	20	A17K	21
TCGA-D8-A1XT-01A	TCGA-D8-A1XT-01A-21-A17K-20	27	7	2011	0321074C-BCF8-42F7-9212-B2673201860D	20	A17K	21
TCGA-D8-A1XU-01A	TCGA-D8-A1XU-01A-21-A17K-20	27	7	2011	D4978F30-9304-47E3-A4A7-1C5B32F6DDDE	20	A17K	21
TCGA-D8-A1XV-01A	TCGA-D8-A1XV-01A-21-A17K-20	27	7	2011	FC4169C4-863C-42B2-9B67-2682355D343D	20	A17K	21
TCGA-D8-A1XW-01A	TCGA-D8-A1XW-01A-21-A17K-20	27	7	2011	645DC9BF-F601-46EB-84E0-CB5DF8D9981B	20	A17K	21
TCGA-D8-A1XY-01A	TCGA-D8-A1XY-01A-21-A17K-20	27	7	2011	68B05CCB-AE51-4690-9B4D-E18BC9B4E9EA	20	A17K	21
TCGA-D8-A1XZ-01A	TCGA-D8-A1XZ-01A-21-A17K-20	27	7	2011	6DE7DBF5-0FDB-4871-A5BA-5909CD85F6E1	20	A17K	21
TCGA-D8-A1Y0-01A	TCGA-D8-A1Y0-01A-21-A17K-20	27	7	2011	AFA6D295-E75A-41FA-A678-2B0D4D82CBC2	20	A17K	21
TCGA-D8-A1Y1-01A	TCGA-D8-A1Y1-01A-11-A17K-20	27	7	2011	2A4E381F-DB2D-4B2E-828C-9264D218439C	20	A17K	11
TCGA-D8-A1Y2-01A	TCGA-D8-A1Y2-01A-21-A17K-20	27	7	2011	4A0DA6ED-16E6-4F14-8F18-0DF68E63D002	20	A17K	21
TCGA-D8-A1Y3-01A	TCGA-D8-A1Y3-01A-21-A17K-20	27	7	2011	98A25723-EDE5-43A7-988D-5A753C500649	20	A17K	21
